Probe,Span,Theta (radians),Pressure (kPa)
1,1,0,0.906
2,1,0.785398163,0.912
3,1,1.570796327,0.962
4,1,2.35619449,1.101
5,1,3.141592654,1.116
6,1,3.926990817,1.079
7,1,4.71238898,0.924
8,1,5.497787144,0.915
9,2,0,0.903
10,2,0.785398163,0.897
11,2,1.570796327,1.075
12,2,2.35619449,1.119
13,2,3.141592654,1.103
14,2,3.926990817,1.139
15,2,4.71238898,0.946
16,2,5.497787144,0.902
17,3,0,0.905
18,3,0.785398163,0.904
19,3,1.570796327,1.048
20,3,2.35619449,1.076
21,3,3.141592654,1.096
22,3,3.926990817,1.107
23,3,4.71238898,0.935
24,3,5.497787144,0.907
25,4,0,0.906
26,4,0.785398163,0.899
27,4,1.570796327,1.058
28,4,2.35619449,1.09
29,4,3.141592654,1.107
30,4,3.926990817,1.115
31,4,4.71238898,0.943
32,4,5.497787144,0.905
33,5,0,0.908
34,5,0.785398163,0.914
35,5,1.570796327,1.028
36,5,2.35619449,1.069
37,5,3.141592654,1.071
38,5,3.926990817,1.09
39,5,4.71238898,0.949
40,5,5.497787144,0.925
